store_name,city_name,state_id,lat,lng
Target Bessemer,Bessemer,AL,33.334,-86.99
Target Daphne,Daphne,AL,30.602,-87.896
Target Alabaster,Alabaster,AL,33.224,-86.804
Target Auburn Toomers Corner,Auburn,AL,32.608,-85.483
Target Decatur,Decatur,AL,34.559,-86.971
Target Dothan,Dothan,AL,31.266,-85.447
Target Gulf Shores,Gulf Shores,AL,30.304,-87.68
Target Florence,Florence,AL,34.842,-87.634
Target Fultondale,Fultondale,AL,33.606,-86.806
Target Homewood,Homewood,AL,33.467,-86.775
Target Opelika,Opelika,AL,32.618,-85.411
Target Madison,Madison,AL,34.749,-86.757
Target Montgomery,Montgomery,AL,32.36,-86.16
Target Prattville,Prattville,AL,32.457,-86.395
Target Oxford,Oxford,AL,33.609,-85.782
Target Tuscaloosa,Tuscaloosa,AL,33.193,-87.519
Target Huntsville West,Huntsville,AL,34.741,-86.681
Target Hoover West,Birmingham,AL,33.362,-86.853
Target Birmingham 280 Corridor,Birmingham,AL,33.425,-86.712
Target Trussville,Birmingham,AL,33.602,-86.639
Target Huntsville South,Huntsville,AL,34.675,-86.544
Target Wasilla,Wasilla,AK,61.577,-149.403
Target Mobile West,Mobile,AL,30.673,-88.226
Target Bel-Air,Mobile,AL,30.671,-88.12
Target Anchorage NE,Anchorage,AK,61.227,-149.746
Target Bullhead City,Bullhead City,AZ,35.053,-114.59
Target Flagstaff,Flagstaff,AZ,35.184,-111.66
Target Anchorage South,Anchorage,AK,61.13,-149.881
Target Fountain Hills,Fountain Hills,AZ,33.574,-111.718
Target Oro Valley,Oro Valley,AZ,32.399,-110.96
Target Sierra Vista,Sierra Vista,AZ,31.556,-110.256
Target Prescott,Prescott,AZ,34.549,-112.432
Target Phoenix SW,Tolleson,AZ,33.423,-112.27
Target Yuma,Yuma,AZ,32.705,-114.606
Target Chandler Fashion Center,Chandler,AZ,33.296,-111.9
Target Gilbert Val Vista,Gilbert,AZ,33.334,-111.757
Target Chandler South,Chandler,AZ,33.252,-111.841
Target Gilbert SW,Gilbert,AZ,33.279,-111.786
Target Peoria SW,Glendale,AZ,33.555,-112.26
Target Glendale,Glendale,AZ,33.581,-112.153
Target Goodyear,Goodyear,AZ,33.463,-112.356
Target Goodyear West,Goodyear,AZ,33.437,-112.427
Target Mesa Central,Mesa,AZ,33.394,-111.786
Target Mesa East,Mesa,AZ,33.389,-111.683
Target Mesa Red Mountain,Mesa,AZ,33.454,-111.683
Target Gilbert Gateway,Mesa,AZ,33.324,-111.69
Target Mesa West,Mesa,AZ,33.392,-111.865
Target Peoria North,Peoria,AZ,33.636,-112.228
Target Peoria Lake Pleasant Pkwy,Peoria,AZ,33.71,-112.275
Target Paradise Valley,Phoenix,AZ,33.6,-111.99
Target Westridge,Phoenix,AZ,33.476,-112.219
Target Ahwatukee,Phoenix,AZ,33.322,-111.981
Target Phoenix I17 and SR101,Phoenix,AZ,33.666,-112.119
Target Arcadia Crossing,Phoenix,AZ,33.478,-111.984
Target Phoenix NE,Phoenix,AZ,33.678,-111.975
Target South Mountain,Phoenix,AZ,33.379,-112.035
Target Phoenix 7th Street and Bell,Phoenix,AZ,33.638,-112.066
Target Phoenix Spectrum,Phoenix,AZ,33.521,-112.098
Target Phoenix Uptown Camelback,Phoenix,AZ,33.508,-112.046
Target Queen Creek,Queen Creek,AZ,33.254,-111.642
Target Queen Creek Gantzel and Combs,Queen Creek,AZ,33.224,-111.563
Target Scottsdale Talking Stick Way,Scottsdale,AZ,33.541,-111.887
Target Scottsdale Road,Scottsdale,AZ,33.779,-111.923
Target Frank Lloyd Wright Blvd,Scottsdale,AZ,33.627,-111.889
Target Surprise,Surprise,AZ,33.637,-112.354
Target Surprise West Prasada,Surprise,AZ,33.612,-112.413
Target Tempe,Tempe,AZ,33.379,-111.908
Target Tucson NE,Tucson,AZ,32.249,-110.853
Target Marana,Tucson,AZ,32.336,-111.049
Target Tempe Rio Salado,Tempe,AZ,33.43,-111.905
Target Tucson SW,Tucson,AZ,32.16,-110.99
Target Tucson El Con Mall,Tucson,AZ,32.223,-110.915
Target Tucson SE,Tucson,AZ,32.207,-110.786
Target Bryant,Bryant,AR,34.604,-92.53
Target Tucson North,Tucson,AZ,32.28,-110.976
Target Fayetteville,Fayetteville,AR,36.121,-94.146
Target Conway,Conway,AR,35.087,-92.415
Target Fort Smith,Fort Smith,AR,35.341,-94.388
Target Jonesboro,Jonesboro,AR,35.823,-90.666
Target Little Rock North,North Little Rock,AR,34.788,-92.229
Target Little Rock West,Little Rock,AR,34.755,-92.414
Target Rogers,Rogers,AR,36.299,-94.173
Target Little Rock Univer,Little Rock,AR,34.749,-92.345
Target Alameda,Alameda,CA,37.789,-122.279
Target Albany,Albany,CA,37.883,-122.306
Target Alhambra,Alhambra,CA,34.091,-118.147
Target Aliso Viejo,Aliso Viejo,CA,33.571,-117.705
Target Atwater,Atwater,CA,37.341,-120.611
Target Antioch Slatten Ranch,Antioch,CA,37.964,-121.738
Target Auburn,Auburn,CA,38.943,-121.095
Target Azusa,Azusa,CA,34.135,-117.908
